longitude,latitude,YR,MO,X,Y,TOT,CR,
-74.21473691,40.52238302,2014,1,924549,129668,1,GRAND LARCENY OF MOTOR VEHICLE,
-73.93441455,40.69482022,2014,1,1002437,192425,1,GRAND LARCENY,
-73.75945485,40.71346883,2014,6,1050935,199304,1,ROBBERY,
-73.9899364,40.73447282,2014,1,987039,206865,1,GRAND LARCENY,
-73.96689058,40.79881895,2014,1,993417,230310,1,GRAND LARCENY,
-73.96689058,40.79881895,2014,1,993417,230310,1,BURGLARY,
-73.98928073,40.7504225,2014,2,987220,212676,14,GRAND LARCENY,
-73.98561837,40.72927379,2014,1,988236,204971,1,GRAND LARCENY,
-73.99305769,40.73361394,2014,1,986174,206552,1,GRAND LARCENY,
-74.00419338,40.74257294,2014,1,983088,209816,1,GRAND LARCENY,
-74.00125175,40.71633589,2014,2,983903,200257,1,FELONY ASSAULT,
-73.98337623,40.76441177,2014,1,988855,217773,1,GRAND LARCENY,
-73.99383875,40.71548761,2014,1,985958,199948,1,FELONY ASSAULT,
-73.98878626,40.72907378,2014,1,987358,204898,1,GRAND LARCENY,
-73.98304099,40.6774166,2014,1,988954,186078,1,GRAND LARCENY,
-73.93960627,40.80359469,2014,2,1000970,232054,1,BURGLARY,
-73.96740019,40.7981137,2014,1,993276,230053,1,FELONY ASSAULT,
-73.73001295,40.72949066,2014,1,1059079,205165,1,GRAND LARCENY OF MOTOR VEHICLE,
-73.79788439,40.70206134,2014,1,1040291,195121,1,ROBBERY,
-73.86625961,40.69034761,2014,1,1021339,190817,1,GRAND LARCENY,
-73.79530536,40.70216932,2014,1,1041006,195162,1,FELONY ASSAULT,
-73.75908257,40.70968027,2014,2,1051042,197924,1,BURGLARY,
-73.86601684,40.69272704,2014,1,1021405,191684,1,BURGLARY,
-73.79340275,40.70512479,2014,1,1041531,196240,1,GRAND LARCENY,
-73.84020004,40.69464288,2014,1,1028563,192394,1,GRAND LARCENY,
-73.9333827,40.7747057,2014,1,1002701,221530,1,GRAND LARCENY,
-73.83841191,40.69740162,2014,1,1029057,193400,1,GRAND LARCENY,
-73.76869035,40.71835424,2014,1,1048370,201077,1,GRAND LARCENY,
-73.75371782,40.71096994,2014,2,1052528,198398,2,FELONY ASSAULT,
-73.73787259,40.72457921,2014,1,1056906,203369,1,GRAND LARCENY,
-73.74572002,40.60436955,2014,2,1054858,159567,1,GRAND LARCENY,
-73.7916348,40.71340806,2014,1,1042014,199259,1,GRAND LARCENY,
-73.76106913,40.7240176,2014,1,1050477,203146,1,GRAND LARCENY OF MOTOR VEHICLE,
-73.74808609,40.72844194,2014,1,1054071,204768,1,GRAND LARCENY,
-73.85443597,40.68859856,2014,1,1024619,190185,1,FELONY ASSAULT,
-73.87806358,40.75446461,2014,1,1018033,214172,1,ROBBERY,
-73.80825846,40.75669162,2014,1,1037371,215018,1,ROBBERY,
-73.8455041,40.69024201,2014,1,1027095,190788,1,BURGLARY,
-73.81762636,40.6956194,2014,1,1034822,192762,1,BURGLARY,
-73.85616052,40.72325342,2014,1,1024120,202810,1,GRAND LARCENY,
-74.13214146,40.63864326,2014,1,947576,171979,1,BURGLARY,
-74.12525327,40.62766632,2014,1,949482,167977,1,ROBBERY,
-73.91542601,40.83856367,2014,2,1007652,244800,1,GRAND LARCENY,
-73.91157683,40.83064229,2014,2,1008720,241915,1,ROBBERY,
-73.85490762,40.87783503,2014,2,1024374,259130,1,BURGLARY,
-73.8798056,40.82720736,2014,2,1017514,240674,2,BURGLARY,
-73.91438307,40.83459405,2014,2,1007942,243354,1,GRAND LARCENY,
-73.8048849,40.75376554,2014,1,1038308,213954,1,ROBBERY,
-73.92551379,40.83749196,2014,2,1004861,244407,1,FELONY ASSAULT,
-73.90163634,40.81329585,2014,2,1011478,235598,1,ROBBERY,
-73.95821488,40.69546811,2014,2,995837,192657,1,ROBBERY,
-73.91702519,40.69223989,2014,2,1007260,191489,1,BURGLARY,
-73.9304213,40.63378222,2014,2,1003562,170188,1,BURGLARY,
-73.91835679,40.68849972,2014,2,1006892,190126,1,GRAND LARCENY,
-73.9200587,40.69153938,2014,2,1006419,191233,1,BURGLARY,
-73.86979188,40.68929217,2014,2,1020360,190431,1,GRAND LARCENY,
-73.96106568,40.66752183,2014,2,995051,182475,1,FELONY ASSAULT,
-73.9325043,40.66887552,2014,2,1002974,182973,1,ROBBERY,
-73.97993525,40.75478266,2014,1,989809,214265,1,GRAND LARCENY,
-73.86932648,40.67837842,2014,2,1020495,186455,1,GRAND LARCENY,
-73.95246278,40.68057,2014,2,997435,187230,1,GRAND LARCENY,
-73.99109063,40.68374969,2014,2,986721,188385,1,GRAND LARCENY,
-73.88979887,40.65124299,2014,2,1014829,176561,1,GRAND LARCENY OF MOTOR VEHICLE,
-73.88077704,40.64803083,2014,2,1017334,175394,1,FELONY ASSAULT,
-73.86745176,40.67473396,2014,2,1021017,185128,1,GRAND LARCENY,
-73.95130145,40.67616965,2014,2,997758,185627,1,ROBBERY,
-74.00033868,40.63543093,2014,2,984156,170781,1,GRAND LARCENY,
-73.96835327,40.63945318,2014,2,993033,172248,2,ROBBERY,
-73.9297707,40.64603181,2014,2,1003739,174651,1,ROBBERY,
-73.97582929,40.76041957,2014,1,990946,216319,1,GRAND LARCENY,
-73.91515312,40.62748365,2014,2,1007802,167897,1,GRAND LARCENY,
-73.89701029,40.65112891,2014,2,1012828,176517,1,ROBBERY,
-73.98477688,40.7012387,2014,2,988471,194757,1,FELONY ASSAULT,
-73.93668769,40.69350126,2014,2,1001807,191944,1,GRAND LARCENY OF MOTOR VEHICLE,
-73.9987623,40.73726741,2014,2,984593,207883,1,GRAND LARCENY,
-73.97812338,40.76559662,2014,2,990310,218205,1,GRAND LARCENY,
-73.94583823,40.81994261,2014,2,999241,238009,1,BURGLARY,
-73.94235909,40.79893555,2014,2,1000209,230356,1,ROBBERY,
-74.00205304,40.73145675,2014,2,983681,205766,3,GRAND LARCENY,
-73.95251715,40.81688244,2014,2,997393,236893,1,BURGLARY,
-73.95504972,40.74733462,2014,1,996705,211554,1,GRAND LARCENY,
-73.97864485,40.74924078,2014,2,990167,212246,1,GRAND LARCENY,
-73.96498393,40.76374342,2014,2,993950,217531,1,GRAND LARCENY,
-73.99422591,40.74350335,2014,2,985850,210155,3,GRAND LARCENY,
-73.98463762,40.72651244,2014,2,988508,203965,1,GRAND LARCENY,
-73.95309651,40.78425611,2014,2,997239,225006,1,GRAND LARCENY,
-73.97037854,40.76057201,2014,2,992456,216375,1,GRAND LARCENY,
-74.00890221,40.73814539,2014,2,981783,208203,1,GRAND LARCENY,
-73.98048263,40.74672143,2014,2,989658,211328,1,GRAND LARCENY,
-73.95763308,40.78247653,2014,2,995983,224357,1,GRAND LARCENY,
-73.96802706,40.76379645,2014,2,993107,217550,1,GRAND LARCENY,
-73.99062327,40.75099078,2014,1,986848,212883,2,GRAND LARCENY,
-73.9789524,40.72395617,2014,2,990084,203034,1,GRAND LARCENY,
-73.80784485,40.68110008,2014,2,1037546,187478,1,BURGLARY,
-73.9007924,40.69359943,2014,2,1011761,191989,1,BURGLARY,
-73.7929891,40.69895379,2014,2,1041651,193992,1,ROBBERY,
-73.78215054,40.68279998,2014,2,1044671,188114,1,GRAND LARCENY OF MOTOR VEHICLE,
-73.8304887,40.70454584,2014,2,1031249,196007,1,BURGLARY,
-73.78944066,40.68060126,2014,2,1042651,187308,1,GRAND LARCENY OF MOTOR VEHICLE,
-73.8311703,40.66042455,2014,2,1031091,179932,3,FELONY ASSAULT,
-73.85202936,40.74127302,2014,2,1025254,209377,1,GRAND LARCENY OF MOTOR VEHICLE,
-73.74914301,40.69879247,2014,2,1053809,193965,1,BURGLARY,
-73.98878575,40.75351579,2014,1,987357,213803,1,GRAND LARCENY,
-73.84821675,40.78168171,2014,2,1026285,224101,1,BURGLARY,
-73.83057958,40.68865374,2014,2,1031235,190217,1,FELONY ASSAULT,
-73.84194175,40.69011092,2014,2,1028083,190742,1,GRAND LARCENY,
-73.74886705,40.70886245,2014,2,1053875,197634,1,FELONY ASSAULT,
-73.83547472,40.58261856,2014,2,1029950,151583,1,GRAND LARCENY,
-73.82702093,40.67741133,2014,2,1032230,186123,1,FELONY ASSAULT,
-73.8344567,40.69848293,2014,2,1030153,193796,1,FELONY ASSAULT,
-73.82238394,40.68983811,2014,2,1033507,190653,1,ROBBERY,
-73.82562867,40.69282115,2014,2,1032605,191738,1,GRAND LARCENY,
-73.79946596,40.67745444,2014,2,1039873,186155,1,BURGLARY,
-73.98493936,40.73234783,2014,6,988424,206091,1,GRAND LARCENY,
-73.98143431,40.76359354,2014,1,989393,217475,1,GRAND LARCENY,
-73.83913724,40.69571735,2014,2,1028857,192786,1,BURGLARY,
-73.82729702,40.58054247,2014,2,1032223,150831,1,FELONY ASSAULT,
-73.81114474,40.68459965,2014,2,1036628,188751,1,GRAND LARCENY,
-73.79388803,40.69515389,2014,2,1041405,192607,1,GRAND LARCENY,
-73.74081613,40.69964137,2014,2,1056117,194281,1,BURGLARY,
-74.21688536,40.54933312,2014,2,923976,139488,1,FELONY ASSAULT,
-74.15777622,40.58006438,2014,2,940423,150649,1,FELONY ASSAULT,
-73.87761065,40.83006504,2014,2,1018120,241716,1,GRAND LARCENY,
-73.8892956,40.83291489,2014,2,1014885,242750,1,BURGLARY,
-73.88143733,40.83008002,2014,2,1017061,241720,1,FELONY ASSAULT,
-74.0002126,40.64447775,2014,1,984191,174077,1,ROBBERY,
-73.89946271,40.83166438,2014,2,1012072,242291,1,GRAND LARCENY OF MOTOR VEHICLE,
-73.87633007,40.83276173,2014,2,1018473,242699,1,GRAND LARCENY,
-73.90010866,40.8322578,2014,2,1011893,242507,1,BURGLARY,
-73.82713512,40.84198661,2014,2,1032080,246083,1,GRAND LARCENY OF MOTOR VEHICLE,
-73.91132724,40.83625778,2014,2,1008787,243961,1,ROBBERY,
-73.91694073,40.83529582,2014,2,1007234,243609,1,GRAND LARCENY,
-73.90383502,40.83675955,2014,2,1010860,244146,1,BURGLARY,
-73.87499935,40.83516467,2014,2,1018840,243575,1,FELONY ASSAULT,
-73.90673983,40.83728892,2014,2,1010056,244338,1,ROBBERY,
-73.96019937,40.65138223,2014,2,995294,176595,1,BURGLARY,
-73.95536877,40.8044198,2014,1,996606,232352,1,ROBBERY,
-73.93233667,40.67065952,2014,2,1003020,183623,1,FELONY ASSAULT,
-73.95153938,40.63649668,2014,2,997700,171173,1,GRAND LARCENY,
-73.93000524,40.67321901,2014,2,1003666,184556,1,GRAND LARCENY OF MOTOR VEHICLE,
-73.92019903,40.66467636,2014,2,1006389,181446,1,ROBBERY,
-73.98373868,40.68449821,2014,2,988760,188658,1,GRAND LARCENY,
-73.97639644,40.67774754,2014,2,990797,186199,1,FELONY ASSAULT,
-73.90957852,40.69505316,2014,2,1009324,192516,1,ROBBERY,
-73.90287626,40.62956273,2014,2,1011209,168658,1,FELONY ASSAULT,
-73.93992771,40.67555218,2014,2,1000913,185404,1,GRAND LARCENY,
-73.90746103,40.67733671,2014,2,1009918,186062,1,FELONY ASSAULT,
-73.95536877,40.8044198,2014,1,996606,232352,1,GRAND LARCENY,
-73.92527204,40.71167575,2014,2,1004967,198568,1,GRAND LARCENY,
-73.94961315,40.63466233,2014,2,998235,170505,1,GRAND LARCENY,
-73.92718348,40.67563815,2014,2,1004448,185438,1,BURGLARY,
-73.93703439,40.6929525,2014,2,1001711,191744,1,FELONY ASSAULT,
-73.98756611,40.75178922,2014,2,987695,213174,1,GRAND LARCENY,
-73.98596253,40.75690798,2014,2,988139,215039,1,FELONY ASSAULT,
-73.94652809,40.79323127,2014,2,999056,228277,1,GRAND LARCENY,
-73.92796318,40.86163045,2014,2,1004176,253201,1,BURGLARY,
-74.00077939,40.73390783,2014,2,984034,206659,1,GRAND LARCENY,
-73.96764492,40.77018061,2014,2,993212,219876,1,GRAND LARCENY,
-73.99848787,40.74529306,2014,1,984669,210807,1,GRAND LARCENY,
-73.98836724,40.75252764,2014,2,987473,213443,1,BURGLARY,
-73.9932911,40.74478509,2014,2,986109,210622,1,FELONY ASSAULT,
-73.95717141,40.77043795,2014,2,996113,219971,1,ROBBERY,
-74.00273455,40.72099922,2014,2,983492,201956,1,GRAND LARCENY,
-73.9982607,40.73795633,2014,2,984732,208134,1,GRAND LARCENY,
-73.98638433,40.724111,2014,2,988024,203090,1,GRAND LARCENY,
-73.82710254,40.76413501,2014,2,1032145,217719,1,GRAND LARCENY,
-73.76444266,40.68107156,2014,2,1049584,187497,1,ROBBERY,
-73.79546372,40.66818924,2014,2,1040991,182782,1,BURGLARY,
-73.82716662,40.76030893,2014,2,1032130,216325,1,GRAND LARCENY,
-73.99072724,40.75595055,2014,1,986819,214690,1,GRAND LARCENY,
-73.81981895,40.76100307,2014,2,1034165,216582,1,GRAND LARCENY,
-73.81578762,40.69285248,2014,2,1035334,191755,1,GRAND LARCENY,
-73.74578361,40.67090085,2014,2,1054770,183806,1,GRAND LARCENY OF MOTOR VEHICLE,
-73.83768919,40.66985403,2014,2,1029276,183364,1,GRAND LARCENY OF MOTOR VEHICLE,
-73.81115369,40.6941707,2014,2,1036618,192238,1,GRAND LARCENY,
-73.93712619,40.76003716,2014,2,1001668,216185,1,FELONY ASSAULT,
-73.80606829,40.66838602,2014,2,1038049,182847,1,GRAND LARCENY OF MOTOR VEHICLE,
-73.81727961,40.71161263,2014,2,1034906,198589,1,ROBBERY,
-73.91342066,40.8493681,2014,2,1008203,248737,1,GRAND LARCENY,
-73.91632614,40.84986155,2014,2,1007399,248916,3,BURGLARY,
-73.98979219,40.75723227,2014,1,987078,215157,1,ROBBERY,
-73.92017749,40.85134916,2014,2,1006333,249457,1,FELONY ASSAULT,
-73.91989789,40.85240842,2014,2,1006410,249843,1,FELONY ASSAULT,
-73.86122618,40.83912875,2014,2,1022649,245025,1,ROBBERY,
-73.87852552,40.82377237,2014,2,1017870,239423,1,BURGLARY,
-73.91660826,40.84683434,2014,2,1007322,247813,1,FELONY ASSAULT,
-73.87964058,40.82854661,2014,2,1017559,241162,1,ROBBERY,
-73.87964058,40.82854661,2014,2,1017559,241162,1,FELONY ASSAULT,
-73.84646485,40.84145678,2014,2,1026732,245880,1,GRAND LARCENY,
-73.92417488,40.80733212,2014,2,1005241,233419,1,ROBBERY,
-73.82954039,40.87793484,2014,2,1031389,259179,1,FELONY ASSAULT,
-73.86557681,40.7106581,2014,1,1021517,198217,1,ROBBERY,
-73.95121417,40.65256451,2014,2,997787,177027,1,ROBBERY,
-74.00162081,40.61399411,2014,2,983800,162971,1,GRAND LARCENY,
